,pipeline,rank,f1,recall,precision,confusion_matrix,status,elapsed,split,dataset,signal
0,deepar,1,0.9999999999,0.99999999995,0.99999999995,"(None, 0, 0, 2)",OK,349.6826,True,MSL,P-11
1,deepar,2,0.99999999985,0.9999999999,0.9999999999,"(None, 0, 0, 1)",OK,245.395901,True,MSL,M-7
2,deepar,3,0.99999999985,0.9999999999,0.9999999999,"(None, 0, 0, 1)",OK,217.193765,True,MSL,S-2
3,deepar,4,0.99999999985,0.9999999999,0.9999999999,"(None, 0, 0, 1)",OK,271.599346,True,MSL,T-5
4,deepar,5,0.6666666666,0.99999999995,0.4999999999875,"(None, 2, 0, 2)",OK,207.499785,True,MSL,T-8
5,deepar,6,0.6666666665777777,0.9999999999,0.499999999975,"(None, 1, 0, 1)",OK,360.4694,True,MSL,P-14
6,deepar,7,0.4999999999375,0.9999999999,0.3333333333222222,"(None, 2, 0, 1)",OK,314.972294,True,MSL,F-8
7,deepar,8,0.4999999999375,0.3333333333222222,0.9999999999,"(None, 0, 2, 1)",OK,327.531235,True,MSL,F-7
8,deepar,9,0.4999999999375,0.9999999999,0.3333333333222222,"(None, 2, 0, 1)",OK,310.360714,True,MSL,F-5
9,deepar,10,0.39999999995200003,0.9999999999,0.24999999999375,"(None, 3, 0, 1)",OK,408.361015,True,MSL,P-10
10,deepar,11,0.0,0.0,0.0,"(None, 2, 1, 0)",OK,289.477606,True,MSL,F-4
11,deepar,12,0.0,0.0,0.0,"(None, 0, 1, 0)",OK,242.605145,True,MSL,D-16
12,deepar,13,0.0,0.0,0.0,"(None, 0, 1, 0)",OK,260.982672,True,MSL,D-15
13,deepar,14,0.0,0.0,0.0,"(None, 0, 2, 0)",OK,188.567033,True,MSL,T-9
14,deepar,15,0.0,0.0,0.0,"(None, 0, 2, 0)",OK,327.216016,True,MSL,D-14
15,deepar,16,0.0,0.0,0.0,"(None, 0, 1, 0)",OK,246.517499,True,MSL,M-6
16,deepar,17,0.0,0.0,0.0,"(None, 0, 2, 0)",OK,234.847031,True,MSL,T-13
17,deepar,18,0.0,0.0,0.0,"(None, 0, 1, 0)",OK,234.122845,True,MSL,T-12
18,deepar,19,0.0,0.0,0.0,"(None, 0, 1, 0)",OK,267.915688,True,MSL,M-1
19,deepar,20,0.0,0.0,0.0,"(None, 1, 2, 0)",OK,267.195545,True,MSL,C-1
20,deepar,21,0.0,0.0,0.0,"(None, 0, 1, 0)",OK,329.484961,True,MSL,P-15
21,deepar,22,0.0,0.0,0.0,"(None, 0, 1, 0)",OK,263.650255,True,MSL,M-5
22,deepar,23,0.0,0.0,0.0,"(None, 0, 1, 0)",OK,260.041545,True,MSL,M-4
23,deepar,24,0.0,0.0,0.0,"(None, 0, 1, 0)",OK,260.63017,True,MSL,M-3
24,deepar,25,0.0,0.0,0.0,"(None, 0, 1, 0)",OK,271.832564,True,MSL,T-4
25,deepar,26,0.0,0.0,0.0,"(None, 0, 1, 0)",OK,268.753319,True,MSL,M-2
26,deepar,27,0.0,0.0,0.0,"(None, 0, 2, 0)",OK,219.088468,True,MSL,C-2
