,pipeline,rank,f1,recall,precision,confusion_matrix,status,elapsed,split,dataset,signal
0,deepar,1,0.99999999985,0.9999999999,0.9999999999,"(None, 0, 0, 1)",OK,398.704343,True,SMAP,F-2
1,deepar,2,0.99999999985,0.9999999999,0.9999999999,"(None, 0, 0, 1)",OK,475.826021,True,SMAP,E-2
2,deepar,3,0.99999999985,0.9999999999,0.9999999999,"(None, 0, 0, 1)",OK,321.790732,True,SMAP,A-8
3,deepar,4,0.99999999985,0.9999999999,0.9999999999,"(None, 0, 0, 1)",OK,368.283499,True,SMAP,D-9
4,deepar,5,0.99999999985,0.9999999999,0.9999999999,"(None, 0, 0, 1)",OK,297.788032,True,SMAP,D-12
5,deepar,6,0.99999999985,0.9999999999,0.9999999999,"(None, 0, 0, 1)",OK,401.860401,True,SMAP,G-6
6,deepar,7,0.99999999985,0.9999999999,0.9999999999,"(None, 0, 0, 1)",OK,493.028635,True,SMAP,A-3
7,deepar,8,0.99999999985,0.9999999999,0.9999999999,"(None, 0, 0, 1)",OK,1126.215583,True,SMAP,D-4
8,deepar,9,0.99999999985,0.9999999999,0.9999999999,"(None, 0, 0, 1)",OK,570.323459,True,SMAP,P-3
9,deepar,10,0.79999999992,0.99999999995,0.6666666666444444,"(None, 1, 0, 2)",OK,399.861597,True,SMAP,T-3
10,deepar,11,0.6666666665777777,0.9999999999,0.499999999975,"(None, 1, 0, 1)",OK,612.255337,True,SMAP,D-1
11,deepar,12,0.6666666665777777,0.9999999999,0.499999999975,"(None, 1, 0, 1)",OK,434.258099,True,SMAP,D-8
12,deepar,13,0.6666666665777777,0.9999999999,0.499999999975,"(None, 1, 0, 1)",OK,440.291559,True,SMAP,D-7
13,deepar,14,0.6666666665777777,0.9999999999,0.499999999975,"(None, 1, 0, 1)",OK,471.723181,True,SMAP,S-1
14,deepar,15,0.6666666665777777,0.9999999999,0.499999999975,"(None, 1, 0, 1)",OK,374.753735,True,SMAP,R-1
15,deepar,16,0.6666666665777777,0.9999999999,0.499999999975,"(None, 1, 0, 1)",OK,498.506184,True,SMAP,D-2
16,deepar,17,0.6666666665777777,0.9999999999,0.499999999975,"(None, 1, 0, 1)",OK,595.78068,True,SMAP,D-3
17,deepar,18,0.6666666665777777,0.9999999999,0.499999999975,"(None, 1, 0, 1)",OK,498.643027,True,SMAP,E-8
18,deepar,19,0.6666666665777777,0.9999999999,0.499999999975,"(None, 1, 0, 1)",OK,504.638523,True,SMAP,E-7
19,deepar,20,0.6666666665777777,0.9999999999,0.499999999975,"(None, 1, 0, 1)",OK,333.342758,True,SMAP,D-13
20,deepar,21,0.6666666665777777,0.499999999975,0.9999999999,"(None, 0, 1, 1)",OK,519.399587,True,SMAP,E-11
21,deepar,22,0.6666666665777777,0.499999999975,0.9999999999,"(None, 0, 1, 1)",OK,495.838239,True,SMAP,E-10
