,pipeline,rank,f1,recall,precision,confusion_matrix,status,elapsed,split,dataset,signal
0,deepar,1,0.9999999999375,0.9999999999875,0.9999999999875,"(None, 0, 0, 8)",OK,272.028998,False,YAHOOA4,A4Benchmark-TS34
1,deepar,2,0.9999999999357143,0.9999999999857143,0.9999999999857143,"(None, 0, 0, 7)",OK,211.870111,False,YAHOOA4,A4Benchmark-TS63
2,deepar,3,0.9999999999,0.99999999995,0.99999999995,"(None, 0, 0, 2)",OK,174.039415,False,YAHOOA4,A4Benchmark-TS96
3,deepar,4,0.9411764705273357,0.8888888888790123,0.9999999999875,"(None, 0, 1, 8)",OK,216.679029,False,YAHOOA4,A4Benchmark-TS89
4,deepar,5,0.9333333332711111,0.9999999999857143,0.8749999999890625,"(None, 1, 0, 7)",OK,174.885527,False,YAHOOA4,A4Benchmark-TS45
5,deepar,6,0.9230769230130177,0.9999999999833333,0.8571428571306122,"(None, 1, 0, 6)",OK,179.742466,False,YAHOOA4,A4Benchmark-TS4
6,deepar,7,0.9090909090247934,0.99999999998,0.8333333333194445,"(None, 1, 0, 5)",OK,186.729276,False,YAHOOA4,A4Benchmark-TS30
7,deepar,8,0.9090909090247934,0.99999999998,0.8333333333194445,"(None, 1, 0, 5)",OK,218.322152,False,YAHOOA4,A4Benchmark-TS73
8,deepar,9,0.9090909090247934,0.99999999998,0.8333333333194445,"(None, 1, 0, 5)",OK,185.005367,False,YAHOOA4,A4Benchmark-TS2
9,deepar,10,0.888888888819753,0.999999999975,0.799999999984,"(None, 1, 0, 4)",OK,181.464003,False,YAHOOA4,A4Benchmark-TS23
10,deepar,11,0.8799999999430399,0.8461538461473372,0.9166666666590277,"(None, 1, 2, 11)",OK,174.376712,False,YAHOOA4,A4Benchmark-TS21
11,deepar,12,0.8749999999390625,0.8749999999890625,0.8749999999890625,"(None, 1, 1, 7)",OK,202.680062,False,YAHOOA4,A4Benchmark-TS6
12,deepar,13,0.8695652173345936,0.7692307692248521,0.99999999999,"(None, 0, 3, 10)",OK,210.106055,False,YAHOOA4,A4Benchmark-TS20
13,deepar,14,0.8695652173338375,0.8333333333263889,0.9090909090826447,"(None, 1, 2, 10)",OK,200.859886,False,YAHOOA4,A4Benchmark-TS90
14,deepar,15,0.8571428570693876,0.9999999999666667,0.74999999998125,"(None, 1, 0, 3)",OK,175.382384,False,YAHOOA4,A4Benchmark-TS54
15,deepar,16,0.8571428570693876,0.9999999999666667,0.74999999998125,"(None, 1, 0, 3)",OK,217.952219,False,YAHOOA4,A4Benchmark-TS61
16,deepar,17,0.8571428570693876,0.9999999999666667,0.74999999998125,"(None, 1, 0, 3)",OK,177.13302,False,YAHOOA4,A4Benchmark-TS37
17,deepar,18,0.8333333332777778,0.7142857142806123,0.99999999999,"(None, 0, 4, 10)",OK,229.477393,False,YAHOOA4,A4Benchmark-TS13
18,deepar,19,0.8235294117051903,0.7777777777691358,0.8749999999890625,"(None, 1, 2, 7)",OK,175.240794,False,YAHOOA4,A4Benchmark-TS46
19,deepar,20,0.79999999994432,0.7142857142806123,0.9090909090826447,"(None, 1, 4, 10)",OK,220.440607,False,YAHOOA4,A4Benchmark-TS67
20,deepar,21,0.7999999999424999,0.7272727272661157,0.8888888888790123,"(None, 1, 3, 8)",OK,177.81504,False,YAHOOA4,A4Benchmark-TS43
21,deepar,22,0.799999999936,0.6666666666555555,0.999999999975,"(None, 0, 2, 4)",OK,176.368915,False,YAHOOA4,A4Benchmark-TS93
22,deepar,23,0.7499999999312501,0.74999999998125,0.74999999998125,"(None, 1, 1, 3)",OK,212.319335,False,YAHOOA4,A4Benchmark-TS70
23,deepar,24,0.7368421052088643,0.5833333333284723,0.9999999999857143,"(None, 0, 5, 7)",OK,174.504231,False,YAHOOA4,A4Benchmark-TS80
