,pipeline,rank,f1,recall,precision,confusion_matrix,status,elapsed,split,dataset,signal
0,deepar,1,0.9999999999,0.99999999995,0.99999999995,"(None, 0, 0, 2)",OK,242.643049,False,realAWSCloudwatch,iio_us-east-1_i-a2eb1cd9_NetworkIn
1,deepar,2,0.99999999985,0.9999999999,0.9999999999,"(None, 0, 0, 1)",OK,325.965153,False,realAWSCloudwatch,ec2_network_in_257a54
2,deepar,3,0.79999999992,0.99999999995,0.6666666666444444,"(None, 1, 0, 2)",OK,280.04801,False,realAWSCloudwatch,rds_cpu_utilization_e47b3b
3,deepar,4,0.79999999992,0.6666666666444444,0.99999999995,"(None, 0, 1, 2)",OK,299.815346,False,realAWSCloudwatch,ec2_cpu_utilization_fe7f93
4,deepar,5,0.6666666665777777,0.499999999975,0.9999999999,"(None, 0, 1, 1)",OK,1161.247216,False,realAWSCloudwatch,ec2_network_in_5abac7
5,deepar,6,0.6666666665777777,0.9999999999,0.499999999975,"(None, 1, 0, 1)",OK,317.944961,False,realAWSCloudwatch,ec2_cpu_utilization_825cc2
6,deepar,7,0.6666666665777777,0.9999999999,0.499999999975,"(None, 1, 0, 1)",OK,469.659603,False,realAWSCloudwatch,ec2_cpu_utilization_ac20cd
7,deepar,8,0.6666666665777777,0.499999999975,0.9999999999,"(None, 0, 1, 1)",OK,293.228873,False,realAWSCloudwatch,elb_request_count_8c0756
8,deepar,9,0.5714285713714286,0.99999999995,0.399999999992,"(None, 3, 0, 2)",OK,326.392912,False,realAWSCloudwatch,ec2_cpu_utilization_53ea38
9,deepar,10,0.4999999999375,0.3333333333222222,0.9999999999,"(None, 0, 2, 1)",OK,360.804484,False,realAWSCloudwatch,grok_asg_anomaly
10,deepar,11,0.4999999999375,0.9999999999,0.3333333333222222,"(None, 2, 0, 1)",OK,385.320912,False,realAWSCloudwatch,ec2_disk_write_bytes_1ef3de
11,deepar,12,0.499999999925,0.499999999975,0.499999999975,"(None, 1, 1, 1)",OK,278.985291,False,realAWSCloudwatch,rds_cpu_utilization_cc0c53
12,deepar,13,0.499999999925,0.499999999975,0.499999999975,"(None, 1, 1, 1)",OK,309.879429,False,realAWSCloudwatch,ec2_cpu_utilization_5f5533
13,deepar,14,0.24999999997499997,0.99999999995,0.14285714285612244,"(None, 12, 0, 2)",OK,339.702888,False,realAWSCloudwatch,ec2_cpu_utilization_24ae8d
14,deepar,15,0.0,0.0,0.0,"(None, 1, 3, 0)",OK,243.558076,False,realAWSCloudwatch,ec2_disk_write_bytes_c0d644
15,deepar,16,0.0,0.0,0.0,"(None, 14, 0, 0)",OK,345.667938,False,realAWSCloudwatch,ec2_cpu_utilization_c6585a
16,deepar,17,0.0,0.0,0.0,"(None, 0, 1, 0)",OK,353.271008,False,realAWSCloudwatch,ec2_cpu_utilization_77c1ca
