,pipeline,rank,f1,recall,precision,confusion_matrix,status,elapsed,split,dataset,signal
0,deepar,1,0.888888888819753,0.999999999975,0.799999999984,"(None, 1, 0, 4)",OK,497.660419,False,realTweets,Twitter_volume_AAPL
1,deepar,2,0.8571428570693876,0.9999999999666667,0.74999999998125,"(None, 1, 0, 3)",OK,430.363702,False,realTweets,Twitter_volume_CVS
2,deepar,3,0.599999999946,0.9999999999666667,0.4285714285653061,"(None, 4, 0, 3)",OK,494.779796,False,realTweets,Twitter_volume_KO
3,deepar,4,0.5714285713632652,0.6666666666444444,0.4999999999875,"(None, 2, 1, 2)",OK,421.131172,False,realTweets,Twitter_volume_CRM
4,deepar,5,0.5454545453983471,0.74999999998125,0.4285714285653061,"(None, 4, 1, 3)",OK,516.696463,False,realTweets,Twitter_volume_AMZN
5,deepar,6,0.499999999940625,0.6666666666444444,0.399999999992,"(None, 3, 1, 2)",OK,551.524324,False,realTweets,Twitter_volume_GOOG
6,deepar,7,0.499999999925,0.499999999975,0.499999999975,"(None, 1, 1, 1)",OK,553.064152,False,realTweets,Twitter_volume_IBM
7,deepar,8,0.44444444439999997,0.99999999995,0.2857142857102041,"(None, 5, 0, 2)",OK,517.322554,False,realTweets,Twitter_volume_FB
8,deepar,9,0.33333333327777775,0.24999999999375,0.499999999975,"(None, 1, 3, 1)",OK,537.450894,False,realTweets,Twitter_volume_PFE
9,deepar,10,0.22222222216790122,0.199999999996,0.24999999999375,"(None, 3, 4, 1)",OK,548.333326,False,realTweets,Twitter_volume_UPS
