,pipeline,rank,f1,recall,precision,confusion_matrix,status,elapsed,split,dataset,signal
0,deepar,1,0.9999999999,0.99999999995,0.99999999995,"(None, 0, 0, 2)",OK,400.918091,True,MSL,P-11
1,deepar,2,0.99999999985,0.9999999999,0.9999999999,"(None, 0, 0, 1)",OK,367.825117,True,MSL,M-7
2,deepar,3,0.99999999985,0.9999999999,0.9999999999,"(None, 0, 0, 1)",OK,263.300112,True,MSL,S-2
3,deepar,4,0.99999999985,0.9999999999,0.9999999999,"(None, 0, 0, 1)",OK,270.593066,True,MSL,T-5
4,deepar,5,0.6666666666,0.99999999995,0.4999999999875,"(None, 2, 0, 2)",OK,228.368865,True,MSL,T-8
5,deepar,6,0.6666666665777777,0.9999999999,0.499999999975,"(None, 1, 0, 1)",OK,447.137289,True,MSL,P-10
6,deepar,7,0.6666666665777777,0.9999999999,0.499999999975,"(None, 1, 0, 1)",OK,416.975071,True,MSL,P-14
7,deepar,8,0.4999999999375,0.9999999999,0.3333333333222222,"(None, 2, 0, 1)",OK,496.59514,True,MSL,F-8
8,deepar,9,0.4999999999375,0.3333333333222222,0.9999999999,"(None, 0, 2, 1)",OK,329.676183,True,MSL,F-7
9,deepar,10,0.4999999999375,0.9999999999,0.3333333333222222,"(None, 2, 0, 1)",OK,314.415388,True,MSL,F-5
10,deepar,11,0.0,0.0,0.0,"(None, 2, 1, 0)",OK,296.707705,True,MSL,F-4
11,deepar,12,0.0,0.0,0.0,"(None, 0, 1, 0)",OK,336.868009,True,MSL,D-16
12,deepar,13,0.0,0.0,0.0,"(None, 0, 1, 0)",OK,373.723077,True,MSL,D-15
13,deepar,14,0.0,0.0,0.0,"(None, 0, 2, 0)",OK,231.820852,True,MSL,T-9
14,deepar,15,0.0,0.0,0.0,"(None, 0, 2, 0)",OK,354.55049,True,MSL,D-14
15,deepar,16,0.0,0.0,0.0,"(None, 0, 1, 0)",OK,300.224311,True,MSL,M-6
16,deepar,17,0.0,0.0,0.0,"(None, 0, 2, 0)",OK,239.713539,True,MSL,T-13
17,deepar,18,0.0,0.0,0.0,"(None, 0, 1, 0)",OK,239.070015,True,MSL,T-12
18,deepar,19,0.0,0.0,0.0,"(None, 0, 1, 0)",OK,316.385751,True,MSL,M-1
19,deepar,20,0.0,0.0,0.0,"(None, 1, 2, 0)",OK,272.285922,True,MSL,C-1
20,deepar,21,0.0,0.0,0.0,"(None, 0, 1, 0)",OK,334.089828,True,MSL,P-15
21,deepar,22,0.0,0.0,0.0,"(None, 0, 1, 0)",OK,277.14529,True,MSL,M-5
22,deepar,23,0.0,0.0,0.0,"(None, 0, 1, 0)",OK,265.174552,True,MSL,M-4
23,deepar,24,0.0,0.0,0.0,"(None, 0, 1, 0)",OK,261.13003,True,MSL,M-3
24,deepar,25,0.0,0.0,0.0,"(None, 0, 1, 0)",OK,271.141279,True,MSL,T-4
25,deepar,26,0.0,0.0,0.0,"(None, 0, 1, 0)",OK,317.622303,True,MSL,M-2
26,deepar,27,0.0,0.0,0.0,"(None, 0, 2, 0)",OK,219.470742,True,MSL,C-2
