,pipeline,rank,f1,recall,precision,confusion_matrix,status,elapsed,split,dataset,signal
0,deepar,1,0.5714285714285715,0.6666666666666666,0.5,"(None, 2, 1, 2)",OK,348.145625,False,realAWSCloudwatch,ec2_disk_write_bytes_c0d644
1,deepar,2,0.5,1.0,0.3333333333333333,"(None, 2, 0, 1)",OK,310.335749,False,realAWSCloudwatch,ec2_cpu_utilization_77c1ca
2,deepar,3,0.5,1.0,0.3333333333333333,"(None, 2, 0, 1)",OK,370.999734,False,realAWSCloudwatch,ec2_network_in_257a54
3,deepar,4,0.5,0.5,0.5,"(None, 1, 1, 1)",OK,371.422852,False,realAWSCloudwatch,elb_request_count_8c0756
4,deepar,5,0.4,0.5,0.3333333333333333,"(None, 2, 1, 1)",OK,326.049776,False,realAWSCloudwatch,rds_cpu_utilization_e47b3b
5,deepar,6,0.25,1.0,0.14285714285714285,"(None, 12, 0, 2)",OK,243.632316,False,realAWSCloudwatch,ec2_cpu_utilization_24ae8d
6,deepar,7,0.25,0.5,0.16666666666666666,"(None, 5, 1, 1)",OK,275.983996,False,realAWSCloudwatch,iio_us-east-1_i-a2eb1cd9_NetworkIn
7,deepar,8,,0.0,0.0,"(None, 1, 2, 0)",OK,243.622624,False,realAWSCloudwatch,ec2_cpu_utilization_5f5533
8,deepar,9,,0.0,0.0,"(None, 2, 2, 0)",OK,250.391531,False,realAWSCloudwatch,ec2_cpu_utilization_53ea38
9,deepar,10,,0.0,0.0,"(None, 1, 1, 0)",OK,303.173763,False,realAWSCloudwatch,ec2_cpu_utilization_825cc2
10,deepar,11,,0.0,0.0,"(None, 1, 1, 0)",OK,275.254652,False,realAWSCloudwatch,ec2_cpu_utilization_ac20cd
11,deepar,12,,,0.0,"(None, 14, 0, 0)",OK,303.562967,False,realAWSCloudwatch,ec2_cpu_utilization_c6585a
12,deepar,13,,0.0,0.0,"(None, 1, 3, 0)",OK,365.457707,False,realAWSCloudwatch,ec2_cpu_utilization_fe7f93
13,deepar,14,,0.0,0.0,"(None, 2, 1, 0)",OK,407.815321,False,realAWSCloudwatch,ec2_disk_write_bytes_1ef3de
14,deepar,15,,0.0,0.0,"(None, 3, 2, 0)",OK,408.939688,False,realAWSCloudwatch,ec2_network_in_5abac7
15,deepar,16,,0.0,,"(None, 0, 3, 0)",OK,399.405917,False,realAWSCloudwatch,grok_asg_anomaly
16,deepar,17,,0.0,0.0,"(None, 3, 2, 0)",OK,364.868765,False,realAWSCloudwatch,rds_cpu_utilization_cc0c53
