,pipeline,rank,f1,recall,precision,confusion_matrix,status,elapsed,split,dataset,signal
0,prophet,1,1,1,1,"(None, 0, 0, 2)",OK,60.88909,FALSE,realAWSCloudwatch,iio_us-east-1_i-a2eb1cd9_NetworkIn
1,prophet,2,1,1,1,"(None, 0, 0, 2)",OK,174.850982,FALSE,realAWSCloudwatch,elb_request_count_8c0756
2,prophet,3,1,1,1,"(None, 0, 0, 2)",OK,144.777444,FALSE,realAWSCloudwatch,ec2_cpu_utilization_24ae8d
3,prophet,4,1,1,1,"(None, 0, 0, 1)",OK,144.126721,FALSE,realAWSCloudwatch,ec2_cpu_utilization_825cc2
4,prophet,5,1,1,1,"(None, 0, 0, 1)",OK,183.520318,FALSE,realAWSCloudwatch,ec2_network_in_257a54
5,prophet,6,0.8,1,0.666666667,"(None, 1, 0, 2)",OK,234.396498,FALSE,realAWSCloudwatch,rds_cpu_utilization_e47b3b
6,prophet,7,0.666666667,0.5,1,"(None, 0, 1, 1)",OK,198.14115,FALSE,realAWSCloudwatch,rds_cpu_utilization_cc0c53
7,prophet,8,0.666666667,0.5,1,"(None, 0, 1, 1)",OK,295.971863,FALSE,realAWSCloudwatch,ec2_network_in_5abac7
8,prophet,9,0.666666667,1,0.5,"(None, 1, 0, 1)",OK,275.048059,FALSE,realAWSCloudwatch,ec2_cpu_utilization_ac20cd
9,prophet,10,0.5,0.333333333,1,"(None, 0, 2, 1)",OK,192.588079,FALSE,realAWSCloudwatch,grok_asg_anomaly
10,prophet,10,0,0,0,"(None, 0, 2, 0)",OK,163.515789,FALSE,realAWSCloudwatch,ec2_cpu_utilization_5f5533
11,prophet,11,0,0,0,"(None, 1, 3, 0)",OK,179.194,FALSE,realAWSCloudwatch,ec2_disk_write_bytes_c0d644
12,prophet,12,0,0,0,"(None, 0, 3, 0)",OK,172.923138,FALSE,realAWSCloudwatch,ec2_cpu_utilization_fe7f93
13,prophet,13,0,0,0,"(None, 0, 0, 0)",OK,176.532531,FALSE,realAWSCloudwatch,ec2_cpu_utilization_c6585a
14,prophet,15,0,0,0,"(None, 0, 1, 0)",OK,138.478183,FALSE,realAWSCloudwatch,ec2_cpu_utilization_77c1ca
15,prophet,16,0,0,0,"(None, 0, 2, 0)",OK,146.183564,FALSE,realAWSCloudwatch,ec2_cpu_utilization_53ea38
16,prophet,17,0,0,0,"(None, 0, 1, 0)",OK,230.727186,FALSE,realAWSCloudwatch,ec2_disk_write_bytes_1ef3de
