,pipeline,rank,f1,recall,precision,confusion_matrix,status,elapsed,split,dataset,signal
0,deepar,1,0.9600000000000001,0.9230769230769231,1.0,"(None, 0, 1, 12)",OK,145.5741,False,YAHOOA4,A4Benchmark-TS75
1,deepar,2,0.9473684210526316,1.0,0.9,"(None, 1, 0, 9)",OK,145.56561,False,YAHOOA4,A4Benchmark-TS38
2,deepar,3,0.9411764705882353,0.8888888888888888,1.0,"(None, 0, 1, 8)",OK,145.35053,False,YAHOOA4,A4Benchmark-TS89
3,deepar,4,0.9090909090909091,0.8333333333333334,1.0,"(None, 0, 1, 5)",OK,144.600637,False,YAHOOA4,A4Benchmark-TS93
4,deepar,5,0.9,0.8181818181818182,1.0,"(None, 0, 2, 9)",OK,144.474945,False,YAHOOA4,A4Benchmark-TS14
5,deepar,6,0.888888888888889,0.8,1.0,"(None, 0, 1, 4)",OK,148.217226,False,YAHOOA4,A4Benchmark-TS64
6,deepar,7,0.888888888888889,1.0,0.8,"(None, 1, 0, 4)",OK,145.840774,False,YAHOOA4,A4Benchmark-TS23
7,deepar,8,0.8750000000000001,1.0,0.7777777777777778,"(None, 2, 0, 7)",OK,145.828176,False,YAHOOA4,A4Benchmark-TS45
8,deepar,9,0.8695652173913043,0.8333333333333334,0.9090909090909091,"(None, 1, 2, 10)",OK,144.530894,False,YAHOOA4,A4Benchmark-TS35
9,deepar,10,0.8571428571428572,0.8181818181818182,0.9,"(None, 1, 2, 9)",OK,144.46289,False,YAHOOA4,A4Benchmark-TS52
10,deepar,11,0.8571428571428571,0.75,1.0,"(None, 0, 4, 12)",OK,148.95863,False,YAHOOA4,A4Benchmark-TS39
11,deepar,12,0.846153846153846,0.7333333333333333,1.0,"(None, 0, 4, 11)",OK,145.24284,False,YAHOOA4,A4Benchmark-TS86
12,deepar,13,0.8421052631578948,0.8,0.8888888888888888,"(None, 1, 2, 8)",OK,145.781356,False,YAHOOA4,A4Benchmark-TS17
13,deepar,14,0.8333333333333334,0.8333333333333334,0.8333333333333334,"(None, 1, 1, 5)",OK,144.930418,False,YAHOOA4,A4Benchmark-TS4
14,deepar,15,0.8333333333333334,0.8333333333333334,0.8333333333333334,"(None, 1, 1, 5)",OK,144.72958,False,YAHOOA4,A4Benchmark-TS57
15,deepar,16,0.8333333333333333,1.0,0.7142857142857143,"(None, 2, 0, 5)",OK,145.144745,False,YAHOOA4,A4Benchmark-TS2
16,deepar,17,0.8333333333333333,0.7142857142857143,1.0,"(None, 0, 4, 10)",OK,148.465097,False,YAHOOA4,A4Benchmark-TS29
17,deepar,18,0.823529411764706,0.875,0.7777777777777778,"(None, 2, 1, 7)",OK,144.23759,False,YAHOOA4,A4Benchmark-TS6
18,deepar,19,0.8148148148148148,0.6875,1.0,"(None, 0, 5, 11)",OK,145.539709,False,YAHOOA4,A4Benchmark-TS85
19,deepar,20,0.8000000000000002,0.8,0.8,"(None, 1, 1, 4)",OK,152.353617,False,YAHOOA4,A4Benchmark-TS72
20,deepar,21,0.8000000000000002,0.8,0.8,"(None, 1, 1, 4)",OK,150.349354,False,YAHOOA4,A4Benchmark-TS73
21,deepar,22,0.7826086956521738,0.6923076923076923,0.9,"(None, 1, 4, 9)",OK,146.267224,False,YAHOOA4,A4Benchmark-TS41
22,deepar,23,0.7777777777777778,0.7777777777777778,0.7777777777777778,"(None, 2, 2, 7)",OK,144.841549,False,YAHOOA4,A4Benchmark-TS49
23,deepar,24,0.7692307692307692,0.7142857142857143,0.8333333333333334,"(None, 1, 2, 5)",OK,144.255264,False,YAHOOA4,A4Benchmark-TS63
24,deepar,25,0.761904761904762,0.6153846153846154,1.0,"(None, 0, 5, 8)",OK,145.644819,False,YAHOOA4,A4Benchmark-TS20
25,deepar,26,0.761904761904762,0.6153846153846154,1.0,"(None, 0, 5, 8)",OK,147.512992,False,YAHOOA4,A4Benchmark-TS88
26,deepar,27,0.761904761904762,0.6666666666666666,0.8888888888888888,"(None, 1, 4, 8)",OK,145.554858,False,YAHOOA4,A4Benchmark-TS90
27,deepar,28,0.761904761904762,0.6153846153846154,1.0,"(None, 0, 5, 8)",OK,148.40327,False,YAHOOA4,A4Benchmark-TS94
28,deepar,29,0.75,0.6666666666666666,0.8571428571428571,"(None, 1, 3, 6)",OK,145.759632,False,YAHOOA4,A4Benchmark-TS46
29,deepar,30,0.75,0.75,0.75,"(None, 1, 1, 3)",OK,148.900385,False,YAHOOA4,A4Benchmark-TS70
30,deepar,31,0.7499999999999999,0.6,1.0,"(None, 0, 2, 3)",OK,144.321834,False,YAHOOA4,A4Benchmark-TS12
31,deepar,32,0.7368421052631579,0.6363636363636364,0.875,"(None, 1, 4, 7)",OK,148.207656,False,YAHOOA4,A4Benchmark-TS32
32,deepar,33,0.7272727272727273,0.5714285714285714,1.0,"(None, 0, 6, 8)",OK,145.546014,False,YAHOOA4,A4Benchmark-TS82
33,deepar,34,0.7272727272727272,0.8,0.6666666666666666,"(None, 2, 1, 4)",OK,147.099056,False,YAHOOA4,A4Benchmark-TS95
34,deepar,35,0.7272727272727272,0.8,0.6666666666666666,"(None, 2, 1, 4)",OK,143.874611,False,YAHOOA4,A4Benchmark-TS11
35,deepar,36,0.7142857142857143,0.5555555555555556,1.0,"(None, 0, 4, 5)",OK,144.819825,False,YAHOOA4,A4Benchmark-TS15
36,deepar,37,0.7142857142857143,0.5555555555555556,1.0,"(None, 0, 4, 5)",OK,145.070009,False,YAHOOA4,A4Benchmark-TS24
37,deepar,38,0.7142857142857143,0.625,0.8333333333333334,"(None, 1, 3, 5)",OK,148.834069,False,YAHOOA4,A4Benchmark-TS34
38,deepar,39,0.7000000000000001,0.5833333333333334,0.875,"(None, 1, 5, 7)",OK,144.543888,False,YAHOOA4,A4Benchmark-TS77
39,deepar,40,0.6956521739130435,0.5714285714285714,0.8888888888888888,"(None, 1, 6, 8)",OK,150.708471,False,YAHOOA4,A4Benchmark-TS67
40,deepar,41,0.6923076923076923,0.6,0.8181818181818182,"(None, 2, 6, 9)",OK,144.824701,False,YAHOOA4,A4Benchmark-TS92
41,deepar,42,0.6666666666666667,0.5333333333333333,0.8888888888888888,"(None, 1, 7, 8)",OK,147.662078,False,YAHOOA4,A4Benchmark-TS65
42,deepar,43,0.6666666666666667,0.5333333333333333,0.8888888888888888,"(None, 1, 7, 8)",OK,145.772189,False,YAHOOA4,A4Benchmark-TS36
43,deepar,44,0.6666666666666666,1.0,0.5,"(None, 2, 0, 2)",OK,145.981131,False,YAHOOA4,A4Benchmark-TS53
44,deepar,45,0.6666666666666666,1.0,0.5,"(None, 3, 0, 3)",OK,145.253117,False,YAHOOA4,A4Benchmark-TS37
45,deepar,46,0.6666666666666666,0.5,1.0,"(None, 0, 5, 5)",OK,148.849573,False,YAHOOA4,A4Benchmark-TS71
46,deepar,47,0.6666666666666666,0.6666666666666666,0.6666666666666666,"(None, 2, 2, 4)",OK,143.464538,False,YAHOOA4,A4Benchmark-TS3
47,deepar,48,0.6666666666666666,1.0,0.5,"(None, 2, 0, 2)",OK,146.115475,False,YAHOOA4,A4Benchmark-TS96
48,deepar,49,0.6666666666666666,1.0,0.5,"(None, 3, 0, 3)",OK,147.96515,False,YAHOOA4,A4Benchmark-TS54
49,deepar,50,0.6666666666666666,0.5625,0.8181818181818182,"(None, 2, 7, 9)",OK,143.899475,False,YAHOOA4,A4Benchmark-TS97
50,deepar,51,0.6666666666666666,1.0,0.5,"(None, 1, 0, 1)",OK,149.858635,False,YAHOOA4,A4Benchmark-TS66
51,deepar,52,0.6666666666666666,0.6666666666666666,0.6666666666666666,"(None, 2, 2, 4)",OK,145.960101,False,YAHOOA4,A4Benchmark-TS5
52,deepar,53,0.6666666666666665,0.75,0.6,"(None, 2, 1, 3)",OK,146.48122,False,YAHOOA4,A4Benchmark-TS42
53,deepar,54,0.6666666666666665,0.5454545454545454,0.8571428571428571,"(None, 1, 5, 6)",OK,145.161561,False,YAHOOA4,A4Benchmark-TS76
54,deepar,55,0.64,0.5,0.8888888888888888,"(None, 1, 8, 8)",OK,147.816932,False,YAHOOA4,A4Benchmark-TS44
55,deepar,56,0.6363636363636364,0.4666666666666667,1.0,"(None, 0, 8, 7)",OK,148.387833,False,YAHOOA4,A4Benchmark-TS99
56,deepar,57,0.6363636363636364,0.5,0.875,"(None, 1, 7, 7)",OK,143.3933,False,YAHOOA4,A4Benchmark-TS13
57,deepar,58,0.631578947368421,0.5,0.8571428571428571,"(None, 1, 6, 6)",OK,144.453136,False,YAHOOA4,A4Benchmark-TS28
58,deepar,59,0.631578947368421,0.5,0.8571428571428571,"(None, 1, 6, 6)",OK,145.378947,False,YAHOOA4,A4Benchmark-TS80
59,deepar,60,0.6086956521739131,0.4375,1.0,"(None, 0, 9, 7)",OK,145.585715,False,YAHOOA4,A4Benchmark-TS56
60,deepar,61,0.608695652173913,0.4666666666666667,0.875,"(None, 1, 8, 7)",OK,149.000171,False,YAHOOA4,A4Benchmark-TS98
61,deepar,62,0.6,0.6,0.6,"(None, 2, 2, 3)",OK,143.800828,False,YAHOOA4,A4Benchmark-TS30
62,deepar,63,0.6,0.46153846153846156,0.8571428571428571,"(None, 1, 7, 6)",OK,144.794578,False,YAHOOA4,A4Benchmark-TS1
63,deepar,64,0.6,0.75,0.5,"(None, 3, 1, 3)",OK,145.021479,False,YAHOOA4,A4Benchmark-TS33
64,deepar,65,0.5714285714285715,0.6666666666666666,0.5,"(None, 2, 1, 2)",OK,144.156211,False,YAHOOA4,A4Benchmark-TS84
65,deepar,66,0.5714285714285715,0.6666666666666666,0.5,"(None, 2, 1, 2)",OK,152.550934,False,YAHOOA4,A4Benchmark-TS60
66,deepar,67,0.5714285714285715,0.5,0.6666666666666666,"(None, 2, 4, 4)",OK,149.079955,False,YAHOOA4,A4Benchmark-TS58
67,deepar,68,0.5714285714285715,1.0,0.4,"(None, 3, 0, 2)",OK,144.321887,False,YAHOOA4,A4Benchmark-TS74
68,deepar,69,0.5714285714285714,0.42857142857142855,0.8571428571428571,"(None, 1, 8, 6)",OK,144.4738,False,YAHOOA4,A4Benchmark-TS7
69,deepar,70,0.5714285714285714,0.4444444444444444,0.8,"(None, 1, 5, 4)",OK,144.751175,False,YAHOOA4,A4Benchmark-TS81
70,deepar,71,0.5555555555555556,0.4166666666666667,0.8333333333333334,"(None, 1, 7, 5)",OK,148.359558,False,YAHOOA4,A4Benchmark-TS48
71,deepar,72,0.5555555555555556,0.38461538461538464,1.0,"(None, 0, 8, 5)",OK,144.554974,False,YAHOOA4,A4Benchmark-TS78
72,deepar,73,0.5263157894736842,0.38461538461538464,0.8333333333333334,"(None, 1, 8, 5)",OK,145.324825,False,YAHOOA4,A4Benchmark-TS21
73,deepar,74,0.5000000000000001,0.36363636363636365,0.8,"(None, 1, 7, 4)",OK,144.993545,False,YAHOOA4,A4Benchmark-TS25
74,deepar,75,0.5000000000000001,0.36363636363636365,0.8,"(None, 1, 7, 4)",OK,144.160869,False,YAHOOA4,A4Benchmark-TS43
75,deepar,76,0.5,0.5,0.5,"(None, 2, 2, 2)",OK,146.648324,False,YAHOOA4,A4Benchmark-TS31
76,deepar,77,0.5,0.6666666666666666,0.4,"(None, 3, 1, 2)",OK,144.231923,False,YAHOOA4,A4Benchmark-TS61
77,deepar,78,0.5,0.5,0.5,"(None, 2, 2, 2)",OK,144.015554,False,YAHOOA4,A4Benchmark-TS10
78,deepar,79,0.5,0.42857142857142855,0.6,"(None, 2, 4, 3)",OK,147.390954,False,YAHOOA4,A4Benchmark-TS50
79,deepar,80,0.5,0.5,0.5,"(None, 1, 1, 1)",OK,145.164667,False,YAHOOA4,A4Benchmark-TS55
80,deepar,81,0.47619047619047616,0.3333333333333333,0.8333333333333334,"(None, 1, 10, 5)",OK,145.671299,False,YAHOOA4,A4Benchmark-TS27
81,deepar,82,0.47058823529411764,0.3333333333333333,0.8,"(None, 1, 8, 4)",OK,144.452814,False,YAHOOA4,A4Benchmark-TS91
82,deepar,83,0.4444444444444444,0.3333333333333333,0.6666666666666666,"(None, 2, 8, 4)",OK,147.365063,False,YAHOOA4,A4Benchmark-TS19
83,deepar,84,0.4444444444444444,0.3076923076923077,0.8,"(None, 1, 9, 4)",OK,145.056626,False,YAHOOA4,A4Benchmark-TS8
84,deepar,85,0.4285714285714285,0.3,0.75,"(None, 1, 7, 3)",OK,145.126427,False,YAHOOA4,A4Benchmark-TS22
85,deepar,86,0.4,1.0,0.25,"(None, 3, 0, 1)",OK,145.606887,False,YAHOOA4,A4Benchmark-TS68
86,deepar,87,0.4,1.0,0.25,"(None, 3, 0, 1)",OK,146.956613,False,YAHOOA4,A4Benchmark-TS18
87,deepar,88,0.4,1.0,0.25,"(None, 3, 0, 1)",OK,144.665991,False,YAHOOA4,A4Benchmark-TS51
88,deepar,89,0.4,0.5,0.3333333333333333,"(None, 2, 1, 1)",OK,144.815229,False,YAHOOA4,A4Benchmark-TS26
89,deepar,90,0.4,1.0,0.25,"(None, 3, 0, 1)",OK,147.393886,False,YAHOOA4,A4Benchmark-TS47
90,deepar,91,0.4,0.2857142857142857,0.6666666666666666,"(None, 1, 5, 2)",OK,145.517452,False,YAHOOA4,A4Benchmark-TS100
91,deepar,92,0.3333333333333333,0.5,0.25,"(None, 3, 1, 1)",OK,145.711128,False,YAHOOA4,A4Benchmark-TS69
92,deepar,93,0.25,0.16666666666666666,0.5,"(None, 1, 5, 1)",OK,144.149505,False,YAHOOA4,A4Benchmark-TS40
93,deepar,94,0.23529411764705882,0.14285714285714285,0.6666666666666666,"(None, 1, 12, 2)",OK,145.898727,False,YAHOOA4,A4Benchmark-TS62
94,deepar,95,,0.0,0.0,"(None, 3, 1, 0)",OK,148.832648,False,YAHOOA4,A4Benchmark-TS59
95,deepar,96,,0.0,0.0,"(None, 2, 1, 0)",OK,146.264713,False,YAHOOA4,A4Benchmark-TS9
96,deepar,97,,0.0,0.0,"(None, 3, 1, 0)",OK,142.876175,False,YAHOOA4,A4Benchmark-TS16
97,deepar,98,,0.0,0.0,"(None, 1, 1, 0)",OK,146.46664,False,YAHOOA4,A4Benchmark-TS87
98,deepar,99,,0.0,0.0,"(None, 2, 3, 0)",OK,145.392787,False,YAHOOA4,A4Benchmark-TS79
99,deepar,100,,0.0,0.0,"(None, 3, 3, 0)",OK,144.858583,False,YAHOOA4,A4Benchmark-TS83
