,Unnamed: 0,pipeline,rank,f1,recall,precision,confusion_matrix,status,elapsed,split,dataset,signal,fp,fn,tp
0,0,deepar,1,0.9999999999,0.99999999995,0.99999999995,"(0, 0, 2)",0,349.6826,True,MSL,P-11,0,0,2
1,1,deepar,2,0.99999999985,0.9999999999,0.9999999999,"(0, 0, 1)",0,245.39590099999998,True,MSL,M-7,0,0,1
2,2,deepar,3,0.99999999985,0.9999999999,0.9999999999,"(0, 0, 1)",0,217.19376499999998,True,MSL,S-2,0,0,1
3,3,deepar,4,0.99999999985,0.9999999999,0.9999999999,"(0, 0, 1)",0,271.59934599999997,True,MSL,T-5,0,0,1
4,4,deepar,5,0.6666666666,0.99999999995,0.4999999999875,"(2, 0, 2)",0,207.499785,True,MSL,T-8,2,0,2
5,5,deepar,6,0.6666666665777777,0.9999999999,0.499999999975,"(1, 0, 1)",0,360.4694,True,MSL,P-14,1,0,1
6,6,deepar,7,0.4999999999375,0.9999999999,0.3333333333222222,"(2, 0, 1)",0,314.972294,True,MSL,F-8,2,0,1
7,7,deepar,8,0.4999999999375,0.3333333333222222,0.9999999999,"(0, 2, 1)",0,327.531235,True,MSL,F-7,0,2,1
8,8,deepar,9,0.4999999999375,0.9999999999,0.3333333333222222,"(2, 0, 1)",0,310.36071400000003,True,MSL,F-5,2,0,1
9,9,deepar,10,0.399999999952,0.9999999999,0.24999999999375,"(3, 0, 1)",0,408.361015,True,MSL,P-10,3,0,1
10,10,deepar,11,0.0,0.0,0.0,"(2, 1, 0)",0,289.477606,True,MSL,F-4,2,1,0
11,11,deepar,12,0.0,0.0,0.0,"(0, 1, 0)",0,242.60514500000002,True,MSL,D-16,0,1,0
12,12,deepar,13,0.0,0.0,0.0,"(0, 1, 0)",0,260.98267200000004,True,MSL,D-15,0,1,0
13,13,deepar,14,0.0,0.0,0.0,"(0, 2, 0)",0,188.567033,True,MSL,T-9,0,2,0
14,14,deepar,15,0.0,0.0,0.0,"(0, 2, 0)",0,327.216016,True,MSL,D-14,0,2,0
15,15,deepar,16,0.0,0.0,0.0,"(0, 1, 0)",0,246.51749900000002,True,MSL,M-6,0,1,0
16,16,deepar,17,0.0,0.0,0.0,"(0, 2, 0)",0,234.84703100000002,True,MSL,T-13,0,2,0
17,17,deepar,18,0.0,0.0,0.0,"(0, 1, 0)",0,234.122845,True,MSL,T-12,0,1,0
18,18,deepar,19,0.0,0.0,0.0,"(0, 1, 0)",0,267.915688,True,MSL,M-1,0,1,0
19,19,deepar,20,0.0,0.0,0.0,"(1, 2, 0)",0,267.19554500000004,True,MSL,C-1,1,2,0
20,20,deepar,21,0.0,0.0,0.0,"(0, 1, 0)",0,329.484961,True,MSL,P-15,0,1,0
21,21,deepar,22,0.0,0.0,0.0,"(0, 1, 0)",0,263.65025499999996,True,MSL,M-5,0,1,0
22,22,deepar,23,0.0,0.0,0.0,"(0, 1, 0)",0,260.04154500000004,True,MSL,M-4,0,1,0
23,23,deepar,24,0.0,0.0,0.0,"(0, 1, 0)",0,260.63017,True,MSL,M-3,0,1,0
24,24,deepar,25,0.0,0.0,0.0,"(0, 1, 0)",0,271.832564,True,MSL,T-4,0,1,0
25,25,deepar,26,0.0,0.0,0.0,"(0, 1, 0)",0,268.753319,True,MSL,M-2,0,1,0
26,26,deepar,27,0.0,0.0,0.0,"(0, 2, 0)",0,219.088468,True,MSL,C-2,0,2,0
0,0,deepar,1,0.99999999985,0.9999999999,0.9999999999,"(0, 0, 1)",0,269.772856,False,artificialWithAnomaly,art_daily_jumpsup,0,0,1
1,1,deepar,2,0.99999999985,0.9999999999,0.9999999999,"(0, 0, 1)",0,271.375058,False,artificialWithAnomaly,art_daily_nojump,0,0,1
2,2,deepar,3,0.99999999985,0.9999999999,0.9999999999,"(0, 0, 1)",0,279.490617,False,artificialWithAnomaly,art_load_balancer_spikes,0,0,1
3,3,deepar,4,0.6666666665777777,0.9999999999,0.499999999975,"(1, 0, 1)",0,263.890376,False,artificialWithAnomaly,art_daily_flatmiddle,1,0,1
4,4,deepar,5,0.6666666665777777,0.9999999999,0.499999999975,"(1, 0, 1)",0,271.129377,False,artificialWithAnomaly,art_daily_jumpsdown,1,0,1
5,5,deepar,6,0.6666666665777777,0.9999999999,0.499999999975,"(1, 0, 1)",0,275.433358,False,artificialWithAnomaly,art_increase_spike_density,1,0,1
0,0,deepar,1,0.8888888888197529,0.999999999975,0.7999999999840001,"(1, 0, 4)",0,497.66041900000005,False,realTweets,Twitter_volume_AAPL,1,0,4
1,1,deepar,2,0.8571428570693876,0.9999999999666668,0.74999999998125,"(1, 0, 3)",0,430.36370199999993,False,realTweets,Twitter_volume_CVS,1,0,3
2,2,deepar,3,0.599999999946,0.9999999999666668,0.4285714285653061,"(4, 0, 3)",0,494.779796,False,realTweets,Twitter_volume_KO,4,0,3
3,3,deepar,4,0.5714285713632652,0.6666666666444444,0.4999999999875,"(2, 1, 2)",0,421.131172,False,realTweets,Twitter_volume_CRM,2,1,2
4,4,deepar,5,0.5454545453983471,0.74999999998125,0.4285714285653061,"(4, 1, 3)",0,516.696463,False,realTweets,Twitter_volume_AMZN,4,1,3
5,5,deepar,6,0.499999999940625,0.6666666666444444,0.39999999999200003,"(3, 1, 2)",0,551.524324,False,realTweets,Twitter_volume_GOOG,3,1,2
6,6,deepar,7,0.499999999925,0.499999999975,0.499999999975,"(1, 1, 1)",0,553.0641519999999,False,realTweets,Twitter_volume_IBM,1,1,1
7,7,deepar,8,0.4444444444,0.99999999995,0.2857142857102041,"(5, 0, 2)",0,517.322554,False,realTweets,Twitter_volume_FB,5,0,2
8,8,deepar,9,0.3333333332777777,0.24999999999375,0.499999999975,"(1, 3, 1)",0,537.4508940000001,False,realTweets,Twitter_volume_PFE,1,3,1
9,9,deepar,10,0.2222222221679012,0.19999999999600002,0.24999999999375,"(3, 4, 1)",0,548.3333259999999,False,realTweets,Twitter_volume_UPS,3,4,1
0,0,deepar,1,0.9999999999,0.99999999995,0.99999999995,"(0, 0, 2)",0,395.875042,False,realTraffic,occupancy_t4013,0,0,2
1,1,deepar,2,0.9999999999,0.99999999995,0.99999999995,"(0, 0, 2)",0,390.742259,False,realTraffic,speed_t4013,0,0,2
2,2,deepar,3,0.7499999999312501,0.74999999998125,0.74999999998125,"(1, 1, 3)",0,308.415969,False,realTraffic,speed_7578,1,1,3
3,3,deepar,4,0.499999999940625,0.6666666666444444,0.39999999999200003,"(3, 1, 2)",0,1060.83645,False,realTraffic,TravelTime_387,3,1,2
4,4,deepar,5,0.249999999971875,0.9999999999,0.14285714285510204,"(6, 0, 1)",0,870.010686,False,realTraffic,TravelTime_451,6,0,1
5,5,deepar,6,0.0,0.0,0.0,"(1, 1, 0)",0,399.454538,False,realTraffic,occupancy_6005,1,1,0
6,6,deepar,7,0.0,0.0,0.0,"(0, 1, 0)",0,427.66665300000005,False,realTraffic,speed_6005,0,1,0
0,0,deepar,1,0.9999999999333332,0.9999999999833332,0.9999999999833332,"(0, 0, 6)",0,263.599347,False,YAHOOA1,real_66,0,0,6
1,1,deepar,2,0.9999999999299999,0.99999999998,0.99999999998,"(0, 0, 5)",0,254.56056099999998,False,YAHOOA1,real_67,0,0,5
2,2,deepar,3,0.9999999999299999,0.99999999998,0.99999999998,"(0, 0, 5)",0,236.30961299999998,False,YAHOOA1,real_62,0,0,5
3,3,deepar,4,0.9999999999166668,0.9999999999666668,0.9999999999666668,"(0, 0, 3)",0,206.532337,False,YAHOOA1,real_8,0,0,3
4,4,deepar,5,0.9999999999166668,0.9999999999666668,0.9999999999666668,"(0, 0, 3)",0,206.798957,False,YAHOOA1,real_41,0,0,3
5,5,deepar,6,0.9999999999166668,0.9999999999666668,0.9999999999666668,"(0, 0, 3)",0,257.129754,False,YAHOOA1,real_4,0,0,3
6,6,deepar,7,0.9999999999166668,0.9999999999666668,0.9999999999666668,"(0, 0, 3)",0,205.486951,False,YAHOOA1,real_42,0,0,3
7,7,deepar,8,0.9999999999166668,0.9999999999666668,0.9999999999666668,"(0, 0, 3)",0,206.53501799999998,False,YAHOOA1,real_17,0,0,3
8,8,deepar,9,0.9999999999,0.99999999995,0.99999999995,"(0, 0, 2)",0,205.329182,False,YAHOOA1,real_31,0,0,2
9,9,deepar,10,0.9999999999,0.99999999995,0.99999999995,"(0, 0, 2)",0,208.255326,False,YAHOOA1,real_21,0,0,2
10,10,deepar,11,0.9999999999,0.99999999995,0.99999999995,"(0, 0, 2)",0,216.41137400000002,False,YAHOOA1,real_2,0,0,2
11,11,deepar,12,0.9999999999,0.99999999995,0.99999999995,"(0, 0, 2)",0,204.61741999999998,False,YAHOOA1,real_37,0,0,2
12,12,deepar,13,0.99999999985,0.9999999999,0.9999999999,"(0, 0, 1)",0,207.906048,False,YAHOOA1,real_16,0,0,1
13,13,deepar,14,0.99999999985,0.9999999999,0.9999999999,"(0, 0, 1)",0,204.371164,False,YAHOOA1,real_22,0,0,1
14,14,deepar,15,0.99999999985,0.9999999999,0.9999999999,"(0, 0, 1)",0,208.710337,False,YAHOOA1,real_33,0,0,1
15,15,deepar,16,0.99999999985,0.9999999999,0.9999999999,"(0, 0, 1)",0,209.003876,False,YAHOOA1,real_25,0,0,1
16,16,deepar,17,0.99999999985,0.9999999999,0.9999999999,"(0, 0, 1)",0,260.380444,False,YAHOOA1,real_10,0,0,1
17,17,deepar,18,0.99999999985,0.9999999999,0.9999999999,"(0, 0, 1)",0,260.55332599999997,False,YAHOOA1,real_6,0,0,1
18,18,deepar,19,0.99999999985,0.9999999999,0.9999999999,"(0, 0, 1)",0,260.343839,False,YAHOOA1,real_5,0,0,1
19,19,deepar,20,0.99999999985,0.9999999999,0.9999999999,"(0, 0, 1)",0,264.145445,False,YAHOOA1,real_11,0,0,1
20,20,deepar,21,0.99999999985,0.9999999999,0.9999999999,"(0, 0, 1)",0,207.19829,False,YAHOOA1,real_50,0,0,1
21,21,deepar,22,0.99999999985,0.9999999999,0.9999999999,"(0, 0, 1)",0,285.1932,False,YAHOOA1,real_58,0,0,1
22,22,deepar,23,0.8888888888197529,0.7999999999840001,0.999999999975,"(0, 1, 4)",0,261.24554900000004,False,YAHOOA1,real_60,0,1,4
23,23,deepar,24,0.8571428570693876,0.9999999999666668,0.74999999998125,"(1, 0, 3)",0,207.477895,False,YAHOOA1,real_15,1,0,3
24,24,deepar,25,0.8571428570693876,0.74999999998125,0.9999999999666668,"(0, 1, 3)",0,203.78295500000002,False,YAHOOA1,real_9,0,1,3
25,25,deepar,26,0.8571428570693876,0.9999999999666668,0.74999999998125,"(1, 0, 3)",0,257.351589,False,YAHOOA1,real_13,1,0,3
26,26,deepar,27,0.79999999992,0.6666666666444444,0.99999999995,"(0, 1, 2)",0,204.947824,False,YAHOOA1,real_20,0,1,2
27,27,deepar,28,0.79999999992,0.6666666666444444,0.99999999995,"(0, 1, 2)",0,268.011585,False,YAHOOA1,real_65,0,1,2
28,28,deepar,29,0.79999999992,0.6666666666444444,0.99999999995,"(0, 1, 2)",0,207.673431,False,YAHOOA1,real_43,0,1,2
29,29,deepar,30,0.6666666666024692,0.599999999988,0.74999999998125,"(1, 2, 3)",0,203.577694,False,YAHOOA1,real_47,1,2,3
30,30,deepar,31,0.6666666666,0.99999999995,0.4999999999875,"(2, 0, 2)",0,207.481165,False,YAHOOA1,real_1,2,0,2
31,31,deepar,32,0.6666666665944444,0.6666666666444444,0.6666666666444444,"(1, 1, 2)",0,208.224949,False,YAHOOA1,real_51,1,1,2
32,32,deepar,33,0.6666666665944444,0.6666666666444444,0.6666666666444444,"(1, 1, 2)",0,204.915565,False,YAHOOA1,real_57,1,1,2
33,33,deepar,34,0.6666666665777777,0.9999999999,0.499999999975,"(1, 0, 1)",0,204.909754,False,YAHOOA1,real_45,1,0,1
34,34,deepar,35,0.6666666665777777,0.499999999975,0.9999999999,"(0, 1, 1)",0,209.496223,False,YAHOOA1,real_36,0,1,1
35,35,deepar,36,0.6666666665777777,0.499999999975,0.9999999999,"(0, 1, 1)",0,207.732464,False,YAHOOA1,real_30,0,1,1
36,36,deepar,37,0.6666666665777777,0.499999999975,0.9999999999,"(0, 1, 1)",0,184.839149,False,YAHOOA1,real_54,0,1,1
37,37,deepar,38,0.6666666665777777,0.499999999975,0.9999999999,"(0, 1, 1)",0,260.439612,False,YAHOOA1,real_12,0,1,1
38,38,deepar,39,0.6666666665777777,0.499999999975,0.9999999999,"(0, 1, 1)",0,210.161756,False,YAHOOA1,real_32,0,1,1
39,39,deepar,40,0.6666666665777777,0.9999999999,0.499999999975,"(1, 0, 1)",0,253.03580699999998,False,YAHOOA1,real_63,1,0,1
40,40,deepar,41,0.6666666665777777,0.499999999975,0.9999999999,"(0, 1, 1)",0,260.162307,False,YAHOOA1,real_3,0,1,1
41,41,deepar,42,0.6666666665777777,0.499999999975,0.9999999999,"(0, 1, 1)",0,261.05751499999997,False,YAHOOA1,real_61,0,1,1
42,42,deepar,43,0.6666666665777777,0.9999999999,0.499999999975,"(1, 0, 1)",0,258.432787,False,YAHOOA1,real_14,1,0,1
43,43,deepar,44,0.5714285713632652,0.4999999999875,0.6666666666444444,"(1, 2, 2)",0,269.211022,False,YAHOOA1,real_39,1,2,2
