,Unnamed: 0,pipeline,rank,f1,recall,precision,confusion_matrix,status,elapsed,split,dataset,signal,fp,fn,tp
0,0,prophet,1,0.8888888888197529,0.999999999975,0.7999999999840001,"(1, 0, 4)",0,791.683584,False,realTweets,Twitter_volume_AAPL,1,0,4
1,1,prophet,2,0.8571428570693876,0.74999999998125,0.9999999999666668,"(0, 1, 3)",0,641.424895,False,realTweets,Twitter_volume_AMZN,0,1,3
2,2,prophet,3,0.8571428570693876,0.9999999999666668,0.74999999998125,"(1, 0, 3)",0,817.771567,False,realTweets,Twitter_volume_CVS,1,0,3
3,3,prophet,4,0.5714285713632652,0.6666666666444444,0.4999999999875,"(2, 1, 2)",0,795.958607,False,realTweets,Twitter_volume_GOOG,2,1,2
4,4,prophet,5,0.49999999995,0.99999999995,0.33333333332777776,"(4, 0, 2)",0,860.113199,False,realTweets,Twitter_volume_FB,4,0,2
5,5,prophet,6,0.499999999940625,0.6666666666444444,0.39999999999200003,"(3, 1, 2)",0,541.201534,False,realTweets,Twitter_volume_KO,3,1,2
6,6,prophet,7,0.3333333332777777,0.499999999975,0.24999999999375,"(3, 1, 1)",0,785.579978,False,realTweets,Twitter_volume_IBM,3,1,1
7,7,prophet,8,0.3333333332722222,0.3333333333222222,0.3333333333222222,"(2, 2, 1)",0,601.319904,False,realTweets,Twitter_volume_CRM,2,2,1
8,8,prophet,9,0.24999999994375002,0.24999999999375,0.24999999999375,"(3, 3, 1)",0,604.0996809999999,False,realTweets,Twitter_volume_PFE,3,3,1
9,9,prophet,10,0.2222222221679012,0.19999999999600002,0.24999999999375,"(3, 4, 1)",0,804.1563769999999,False,realTweets,Twitter_volume_UPS,3,4,1
0,0,prophet,1,0.99999999985,0.9999999999,0.9999999999,"(0, 0, 1)",0,258.623897,True,MSL,M-7,0,0,1
1,1,prophet,2,0.99999999985,0.9999999999,0.9999999999,"(0, 0, 1)",0,128.324127,True,MSL,S-2,0,0,1
2,2,prophet,3,0.99999999985,0.9999999999,0.9999999999,"(0, 0, 1)",0,201.911311,True,MSL,T-5,0,0,1
3,3,prophet,4,0.99999999985,0.9999999999,0.9999999999,"(0, 0, 1)",0,529.930824,True,MSL,P-14,0,0,1
4,4,prophet,5,0.99999999985,0.9999999999,0.9999999999,"(0, 0, 1)",0,378.80166,True,MSL,F-5,0,0,1
5,5,prophet,6,0.6666666666,0.99999999995,0.4999999999875,"(2, 0, 2)",0,159.890425,True,MSL,T-8,2,0,2
6,6,prophet,7,0.6666666665777777,0.9999999999,0.499999999975,"(1, 0, 1)",0,489.69829000000004,True,MSL,P-10,1,0,1
7,7,prophet,8,0.6666666665777777,0.499999999975,0.9999999999,"(0, 1, 1)",0,501.70180999999997,True,MSL,P-11,0,1,1
8,8,prophet,9,0.4999999999375,0.9999999999,0.3333333333222222,"(2, 0, 1)",0,368.800106,True,MSL,F-8,2,0,1
9,9,prophet,10,0.0,0.0,0.0,"(0, 2, 0)",0,167.398443,True,MSL,T-13,0,2,0
10,10,prophet,11,0.0,0.0,0.0,"(0, 1, 0)",0,251.79485099999997,True,MSL,D-16,0,1,0
11,11,prophet,12,0.0,0.0,0.0,"(0, 1, 0)",0,284.052019,True,MSL,D-15,0,1,0
12,12,prophet,13,0.0,0.0,0.0,"(0, 2, 0)",0,118.961056,True,MSL,T-9,0,2,0
13,13,prophet,14,0.0,0.0,0.0,"(0, 2, 0)",0,425.46511,True,MSL,D-14,0,2,0
14,14,prophet,15,0.0,0.0,0.0,"(0, 1, 0)",0,276.01403,True,MSL,F-4,0,1,0
15,15,prophet,16,0.0,0.0,0.0,"(0, 1, 0)",0,221.621846,True,MSL,M-6,0,1,0
16,16,prophet,17,0.0,0.0,0.0,"(0, 1, 0)",0,160.912155,True,MSL,T-12,0,1,0
17,17,prophet,18,0.0,0.0,0.0,"(0, 1, 0)",0,271.85307400000005,True,MSL,M-1,0,1,0
18,18,prophet,19,0.0,0.0,0.0,"(0, 2, 0)",0,206.74958999999998,True,MSL,C-1,0,2,0
19,19,prophet,20,0.0,0.0,0.0,"(0, 1, 0)",0,332.002725,True,MSL,P-15,0,1,0
20,20,prophet,21,0.0,0.0,0.0,"(0, 1, 0)",0,202.87131399999998,True,MSL,M-5,0,1,0
21,21,prophet,22,0.0,0.0,0.0,"(0, 1, 0)",0,187.121355,True,MSL,M-4,0,1,0
22,22,prophet,23,0.0,0.0,0.0,"(0, 1, 0)",0,186.037272,True,MSL,M-3,0,1,0
23,23,prophet,24,0.0,0.0,0.0,"(0, 3, 0)",0,366.753131,True,MSL,F-7,0,3,0
24,24,prophet,25,0.0,0.0,0.0,"(0, 1, 0)",0,206.54707,True,MSL,T-4,0,1,0
25,25,prophet,26,0.0,0.0,0.0,"(0, 1, 0)",0,222.909944,True,MSL,M-2,0,1,0
26,26,prophet,27,0.0,0.0,0.0,"(0, 2, 0)",0,160.471767,True,MSL,C-2,0,2,0
0,0,prophet,1,0.99999999985,0.9999999999,0.9999999999,"(0, 0, 1)",0,323.398225,True,SMAP,D-9,0,0,1
1,1,prophet,2,0.99999999985,0.9999999999,0.9999999999,"(0, 0, 1)",0,354.942181,True,SMAP,R-1,0,0,1
2,2,prophet,3,0.99999999985,0.9999999999,0.9999999999,"(0, 0, 1)",0,375.571577,True,SMAP,F-2,0,0,1
3,3,prophet,4,0.99999999985,0.9999999999,0.9999999999,"(0, 0, 1)",0,339.00473900000003,True,SMAP,D-7,0,0,1
4,4,prophet,5,0.99999999985,0.9999999999,0.9999999999,"(0, 0, 1)",0,421.215259,True,SMAP,E-3,0,0,1
5,5,prophet,6,0.99999999985,0.9999999999,0.9999999999,"(0, 0, 1)",0,426.40601399999997,True,SMAP,D-13,0,0,1
6,6,prophet,7,0.99999999985,0.9999999999,0.9999999999,"(0, 0, 1)",0,301.506753,True,SMAP,D-12,0,0,1
7,7,prophet,8,0.99999999985,0.9999999999,0.9999999999,"(0, 0, 1)",0,339.973943,True,SMAP,B-1,0,0,1
8,8,prophet,9,0.99999999985,0.9999999999,0.9999999999,"(0, 0, 1)",0,568.710687,True,SMAP,D-4,0,0,1
9,9,prophet,10,0.99999999985,0.9999999999,0.9999999999,"(0, 0, 1)",0,598.326506,True,SMAP,D-3,0,0,1
10,10,prophet,11,0.99999999985,0.9999999999,0.9999999999,"(0, 0, 1)",0,488.82144800000003,True,SMAP,D-2,0,0,1
11,11,prophet,12,0.99999999985,0.9999999999,0.9999999999,"(0, 0, 1)",0,634.722423,True,SMAP,A-1,0,0,1
12,12,prophet,13,0.6666666666074074,0.9999999999666668,0.4999999999916666,"(3, 0, 3)",0,344.326275,True,SMAP,G-7,3,0,3
13,13,prophet,14,0.6666666665777777,0.499999999975,0.9999999999,"(0, 1, 1)",0,427.049116,True,SMAP,E-11,0,1,1
14,14,prophet,15,0.6666666665777777,0.499999999975,0.9999999999,"(0, 1, 1)",0,467.993123,True,SMAP,E-10,0,1,1
15,15,prophet,16,0.6666666665777777,0.9999999999,0.499999999975,"(1, 0, 1)",0,441.488347,True,SMAP,P-3,1,0,1
16,16,prophet,17,0.6666666665777777,0.9999999999,0.499999999975,"(1, 0, 1)",0,243.05576000000002,True,SMAP,A-5,1,0,1
