,dataset,pipeline,fp,fn,tp,f1
0,MSL,deepar,13,24,12,0.3934426229024456
1,SMAP,deepar,52,29,38,0.4840764330720922
2,YAHOOA1,deepar,38,74,104,0.6499999999506328
3,YAHOOA2,deepar,10,4,196,0.9655172413293213
4,YAHOOA3,deepar,61,434,505,0.6710963454680214
5,YAHOOA4,deepar,71,519,316,0.5171849426735777
6,artificialWithAnomaly,deepar,3,0,6,0.799999999952
7,realAWSCloudwatch,deepar,37,11,19,0.44186046507084914
8,realAdExchange,deepar,14,3,8,0.48484848480404047
9,realTraffic,deepar,11,4,10,0.5714285713805715
10,realTweets,deepar,25,11,22,0.5499999999515314
