,dataset,pipeline,fp,fn,tp,f1
0,MSL,prophet,5,26,10,0.3921568627035755
1,SMAP,prophet,47,38,29,0.4055944055446037
2,YAHOOA1,prophet,10,109,69,0.5369649805021666
3,YAHOOA2,prophet,14,51,149,0.8209366390689767
4,YAHOOA3,prophet,1,751,188,0.3333333333054375
5,YAHOOA4,prophet,0,758,77,0.16885964910734672
6,artificialWithAnomaly,prophet,1,3,3,0.599999999952
7,realAWSCloudwatch,prophet,3,16,14,0.5957446808048891
8,realAdExchange,prophet,12,4,7,0.4666666666202222
9,realTraffic,prophet,11,5,9,0.5294117646574394
10,realTweets,prophet,22,13,20,0.5333333332840533
